 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
12155096;"10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes";"";"0";"0";"";"";"2023-11-12 00:00:00.0";"2023-11-12 23:59:00.0";"09:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7e9d691705ab810VgnVCM1000001d4a900aRCRD";"10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=13504728c34ab810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/CarrerasMaratones";"";
12102925;"Autoprotección para mujeres - Temporada 2023-2024";"";"0";"1";"L,M,X,J,V,S,D";"";"2023-10-08 00:00:00.0";"2024-06-21 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0460f51909caa810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"/usuario/Jovenes,/usuario/Mujeres";
12153422;"Carrera de las Ciudades contra el Cáncer de Páncreas";"";"0";"0";"";"";"2023-11-19 00:00:00.0";"2023-11-19 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c872ccec774ab810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d9a78a0dea9e210VgnVCM1000000b205a0aRCRD";"Parque Juan Carlos I";"2";"GLORIETA";"S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5";"5";"BARAJAS";"CORRALEJOS";"28042";"447867";"4478996";"40.45999848510341";"-3.6148888706303586";"/contenido/actividades/ActividadesDeportivas/CarrerasMaratones";"";
11441198;"Ciclismo por Madrid";"";"0";"1";"X,S,D";"";"2023-09-01 00:00:00.0";"2024-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD";"Ciclismo por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4cd5f98a5c668510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Ciclismo";"";
12151373;"Clinic Voleibol 2023";"";"1";"0";"";"";"2023-11-09 00:00:00.0";"2023-11-09 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=72024880fc49b810VgnVCM2000001f4a900aRCRD";"Primavera en Chamartín 2023";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98a3433af8a60810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/usuario/Jovenes,/usuario/Niños";
11234187;"Correr por Madrid";"";"0";"1";"L,M,X,J";"";"2023-09-01 00:00:00.0";"2024-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD";"Correr por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9def21a074077510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
12128700;"Madrid Horse Week";"";"0";"1";"L,M,X,J,V,S,D";"";"2023-11-24 00:00:00.0";"2023-11-26 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=929134a18291b810VgnVCM1000001d4a900aRCRD";"IFEMA Madrid Horse Week 2023";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c6f34a18291b810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ebc7f0d23c5f010VgnVCM1000000b205a0aRCRD";"IFEMA MADRID, Institución Ferial de Madrid";"1";"AVENIDA";"PARTENON";"5";"BARAJAS";"CORRALEJOS";"28042";"447742";"4479473";"40.464291747886286";"-3.6163927643499956";"/contenido/actividades/ActividadesDeportivas/Hipica";"";
11445886;"Marcha nórdica";"";"0";"1";"L,M,X,J";"";"2023-09-01 00:00:00.0";"2024-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=452bf7504d6fa710VgnVCM1000001d4a900aRCRD";"Marcha nórdica por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=336905459682e510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11748362;"Piragüismo por Madrid";"";"0";"1";"V,S,D";"";"2023-09-01 00:00:00.0";"2024-07-31 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a73b16daa0b2810VgnVCM1000001d4a900aRCRD";"Piragüismo por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=265829cc0b9f8410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d9a78a0dea9e210VgnVCM1000000b205a0aRCRD";"Parque Juan Carlos I";"2";"GLORIETA";"S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5";"5";"BARAJAS";"CORRALEJOS";"28042";"447867";"4478996";"40.45999848510341";"-3.6148888706303586";"/contenido/actividades/ActividadesDeportivas";"";
11445019;"Triatlón por Madrid";"";"0";"1";"V,S";"";"2023-09-01 00:00:00.0";"2024-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7df3104e46fa710VgnVCM1000001d4a900aRCRD";"Triatlón por Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eafe3104e46fa710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Cerro Almodóvar";"1";"CALLE";"CERRO DE ALMODOVAR";"9";"VILLA DE VALLECAS";"SANTA EUGENIA";"28007";"448872";"4470296";"40.38168570611539";"-3.602336460953483";"/contenido/actividades/ActividadesDeportivas/Ciclismo";"";
